STORE NAME#@LICENSE ID#@ACCOUNT NUMBER#@SQUARE FEET#@BUFFER SIZE#@ADDRESS#@ZIP CODE#@COMMUNITY AREA NAME#@COMMUNITY AREA#@WARD#@CENSUS TRACT#@CENSUS BLOCK#@X COORDINATE#@Y COORDINATE#@LATITUDE#@LONGITUDE#@LOCATION
ALDI FOODS #91#@13994#@5273#@15565#@A#@3835 W MADISON ST#@60624#@WEST GARFIELD PARK#@26#@28#@17031260800#@170312608001000#@1150675.92099303#@1899694.80960072#@41.8806594115#@-87.7221936689#@(41.8806594115, -87.7221936689)"
ALDI FOODS -STORE #04#@13988#@5273#@12500#@A#@800 N KEDZIE AVE#@60651#@HUMBOLDT PARK#@23#@27#@17031836600#@170318366001013#@1154853.93641042#@1905175.1424146#@41.8956153135#@-87.7067053251#@(41.8956153135, -87.7067053251)"
ALDI FOODS STORE #2#@14004#@5273#@15600#@A#@4645 W DIVERSEY AVE#@60639#@HERMOSA#@20#@31#@17031190900#@170311909001000#@1144687.3239847#@1918165.88033316#@41.9314609382#@-87.743717307#@(41.9314609382, -87.7437173070)"
ALDI FOODS STORE #26#@13998#@5273#@15540#@A#@2600 N CLYBOURN AVE#@60614#@LINCOLN PARK#@7#@32#@17031070700#@170310707002008#@1163612.48626872#@1917295.73166597#@41.9286950012#@-87.6741950831#@(41.9286950012, -87.6741950831)"
ALDI FOODS-STORE #27#@13986#@5273#@12300#@A#@3363 N MILWAUKEE AVE#@60641#@IRVING PARK#@16#@30#@17031161300#@170311613002008#@1148660.97684323#@1922173.95142456#@41.9423835134#@-87.7290108595#@(41.9423835134, -87.7290108595)"
ALDI FOODS STORE #30#@14000#@5273#@14860#@A#@4030 W WRIGHTWOOD AVE#@60639#@LOGAN SQUARE#@22#@31#@17031220702#@170312207022005#@1148929.31748378#@1917009.95006273#@41.9282078544#@-87.728158558#@(41.9282078544, -87.7281585580)"
ALDI FOODS STORE #90B#@13992#@5273#@15565#@A#@2828 N CENTRAL AVE#@60634#@BELMONT CRAGIN#@19#@31#@17031190402#@170311904022031#@1138506.86074731#@1918378.10084812#@41.9321576791#@-87.7664245988#@(41.9321576791, -87.7664245988)"
ALDI INC #06#@13978#@5273#@14000#@A#@5001 N PULASKI RD#@60630#@ALBANY PARK#@14#@39#@17031140302#@170311403023005#@1148863.36701364#@1932961.41898536#@41.9719812207#@-87.7279868979#@(41.9719812207, -87.7279868979)"
ALDI INC #10#@14002#@5273#@15540#@A#@4501 S PULASKI RD#@60632#@ARCHER HEIGHTS#@57#@14#@17031570100#@170315701001024#@1150478.90619053#@1874473.041331#@41.8114515422#@-87.7235746544#@(41.8114515422, -87.7235746544)"
ALDI INC #53#@13964#@5273#@13981#@A#@5775 S ARCHER AVE#@60638#@GARFIELD RIDGE#@56#@23#@17031560700#@170315607002042#@1141308.69344818#@1868917.73165828#@41.7963804895#@-87.7573475722#@(41.7963804895, -87.7573475722)"
ALDI INC #58#@13974#@5273#@12571#@A#@2431 W MONTROSE AVE#@60618#@NORTH CENTER#@5#@47#@17031050300#@170310503001001#@1159231.78313673#@1929105.89557759#@41.9611940986#@-87.6899669704#@(41.9611940986, -87.6899669704)"
ALDI INC # 62#@13984#@5273#@12646#@A#@6220 N CALIFORNIA AVE#@60659#@WEST RIDGE#@2#@50#@17031020702#@170310207022006#@1156498.06576246#@1941267.10510944#@41.9946209588#@-87.6996868624#@(41.9946209588, -87.6996868624)"
